CTRI_No,Public_Title,Type_of_Trial,Recruitment_Status,Health_Condition,Intervention_Name,Location
CTRI/2010/091/000034,Safety and Efficacy of Talactoferrin in Previously Treated Patients With Non-small Cell Lung Cancer,Interventional,"Total: Completed
Indian: Completed",Non Small Cell Lung Cancer,Talactoferrin,"Apollo Hospitals, Hyderabad,ANDHRA PRADESH

Bhagwan Mahaveer Cancer Hospital and Research Centre, Jaipur,RAJASTHAN

Deenanath Mangeshkar Hospital and Research Centre, Pune,MAHARASHTRA

Dr. Kamakshi Memorial Hospital, Chennai,TAMIL NADU

Indo-American Cancer Institute & Research Centre, Hyderabad,ANDHRA PRADESH

Kaushalya Medical Foundation Trust Hospital, Mumbai,MAHARASHTRA

King George Hospital, Visakhapatnam ,ANDHRA PRADESH

M S Ramaiah Memorial Hospital, Bangalore,KARNATAKA

P.D. Hinduja National Hospital and Medical Research Centre, Mumbai,MAHARASHTRA

Regional Cancer Centre, Thiruvananthapuram,KERALA

SEAROC Cancer Centre, Jaipur ,RAJASTHAN

Shatabdi Hospital, Nashik,MAHARASHTRA

Tata Memorial Hospital, Mumbai,MAHARASHTRA"
CTRI/2008/091/000052,A clinical trial to study the effects of Ayurvedic formulation containing Ashwagandha and Guduchi in improving the quality of life in patients of breast cancer receiving chemotherapy as treatment,,"Total: Not Yet Recruiting
Indian:",Breast cancer receiving chemotherapy,Tablet PHP-Cancer containing hydro-alcoholic extracts of Withania somnifera 150mg and Tinospora cordifolia 200 mg,"Seth G.S. Medical College & KEM Hospital, Parel, Mumbai 400 012,MAHARASHTRA

TNMC & BYL Nair Hospital, Mumbai Central, Mumbai 400 008,MAHARASHTRA

Vydehi Institute of Medical Science and Research Centre, 82, EPIP area, Whitefield. Bangalore-560 00,KARNATAKA"
CTRI/2008/091/000058,A Clinical Study to compare three surgical techniques to reduce seroma formation (a main complication ) after surgery for breast cancer,Interventional,"Total: Completed
Indian: Completed",Seroma formation after axillary lymph node dissection during breast cancer surgery,"suture flap fixation

External compression","PGIMER,CHANDIGARH"
CTRI/2008/091/000061,To assess the efficacy of Radiofrequency Ablation (RFA) and Percutaneous acetic acid (PAI)for the management of small hepatocellular carcinoma (HCC) in patients of cirrhosis of liver and whether PAI is equally effective as RFA.,,"Total: Open to Recruitment
Indian:",Liver Cancer in Cirrhosis Patients,Ablation by Acetic acid,"Department of Gastroenterology, Radio-diagnosis,DELHI"
CTRI/2008/091/000081,A Biomarker Identification Trial of Tarceva (Erlotinib) in Patients With Advanced Pancreatic Cancer,,"Total: Not Yet Recruiting
Indian:",Pancreatic Cancer,Erlotinib,"Apollo Hospitals,TAMIL NADU

Apollo Indraprasth Hsopital,DELHI

B. P. Poddar Hospital,WEST BENGAL

Christian Medical College,TAMIL NADU

Kidwai Memorial Hospital,KARNATAKA

Lakeshore Hospital,N/A

Ruby Hall Clinic,MAHARASHTRA

S M S Medical College,RAJASTHAN

Tata Memorial Hospital,MAHARASHTRA"
CTRI/2008/091/000111,Cancer Vaccine Study for Unresectable Stage III Non-Small Cell Lung Cancer,Interventional,"Total: Not Applicable
Indian: Not Applicable",Non-small cell lung cancer (NSCLC) subjects with unresectable stage III disease,"Investigational arm: Pre-treatment: one intravenous infusion of cyclophosphamide (infusion of 300 mg/m2, determined by calculation of the subject's body surface area. A maximum dose of 600mg will be given). Primary treatment: weekly subcutaneous vaccinations with Stimuvax (subcutaneous injection of 1,000 µg) for 8 consecutive weeks. Maintenance treatment: vaccinations with Stimuvax (subcutaneous injection of 1,000 µg) at 6-week intervals. Subjects will be discontinued upon documented disease progression.

Investigational arm: Pre-treatment: one intravenous infusion of cyclophosphamide (infusion of 300 mg/m2, determined by calculation of the subject's body surface area. A maximum dose of 600mg will be given). Primary treatment: weekly subcutaneous vaccinations with Stimuvax (subcutaneous injection of 1,000 µg) for 8 consecutive weeks. Maintenance treatment: vaccinations with Stimuvax (subcutaneous injection of 1,000 µg) at 6-week intervals. Subjects will be discontinued upon documented disease progression","All India Institute of Medical Sciences (AIIMS),DELHI

Apollo Speciality Hospitals,TAMIL NADU

Christian Medical College & Hospital,,TAMIL NADU

Indo-American Cancer Institute & Research Centre,ANDHRA PRADESH

Jaslok Hospital & Research Center,MAHARASHTRA

Nizam's Institute of Medical Sciences,ANDHRA PRADESH"
CTRI/2008/091/000117,A clinical trial to study the efficacy of probiotic Lactobacillus brevis lozenges in preventing radiation and chemotherapy induced oral mucositis in head and neck cancer patients.,Interventional,"Total: Completed
Indian: Completed",Radiotherapy and Chemptherapy induced oral mucositis in head and neck cancer patients,Lactobacillus CD2 lozenges,"Institute Rotary Cancer Hospital, All India Institute of Medical Sciences, New Delhi-110029,DELHI"
CTRI/2008/091/000128,Study of Bavituximab plus Paclitaxel and Carboplatin in patients with Non small Cell Lung Cancer.,,"Total: Completed
Indian: Completed",Non-Small Cell Lung Cancer,"Intravenous bavituximab

Intravenous Carboplatin

Paclitaxel","Apollo Hospital, Bangalore,KARNATAKA

Kidwai Memorial Institute of Oncology, Bangalore,KARNATAKA

Medical College, Kozhikode,KERALA

Nizam's Institute of Medical Science, Hyderabad,ANDHRA PRADESH

Orchid Nursing Home, Kolkata,WEST BENGAL

Yashoda Hospital, Hyderabad,ANDHRA PRADESH"
CTRI/2008/091/000193,An invivo study to evaluate the role of curcumin in oral pre-malignant lesions and gingivo-buccal cancers,,"Total: Not Applicable
Indian: Other (Terminated)",Pre-malignant lesions (Head & neck cancers),Curcumin Capsule,"Tata Memorial Hospital,MAHARASHTRA"
CTRI/2008/091/000194,Phase II Trial of Curcumin in Advanced Head and Neck Cancer Treatment,,"Total: Not Applicable
Indian: Completed",Advanced Head & neck Cancers,Curcumin Capsule,"Himalayan Institute of Medial Sciences,UTTARANCHAL"
CTRI/2008/091/000195,Phase II/III Randomized Placebo Controlled Clinical Trial of Curcumin in Resectable Stage III and IV Squamous Head and Neck Cancers (Oral cancers),,"Total: Not Applicable
Indian: Completed",Head & Neck Cancers,Curcumin Capsule,"All India Institute of Medical Sciences,DELHI"
CTRI/2008/091/000277,"A Multinational Randomized Double Blind, Placebo-controlled study to evaluate the efficacy and safety of AVE5026 in the prevention of Venous Thromembolism(VTE) in cancer patients at high risk for VTE and who are undergoing chemotherapy",Interventional,"Total: Completed
Indian: Completed","Venous Thromboembolism

Venous Thromboembolism in Cancer Patients undergoing Chemotherapy",AVE5026,"Jaslok Hospital and Research Centre ,MAHARASHTRA

Sri Ganga Ram Hospital,N/A"
CTRI/2009/091/000015,To study role of two different chemotherapy regimen and best supportive care in advance not surgically fit gall bladder cancer patient.,Interventional,"Total: Completed
Indian: Completed",gall bladder cancer patient not fit for surgery.,"5- FU plus folinic acid

gemcitabine plus oxaliplatin","IRCH ,AIIMS,DELHI"
CTRI/2009/091/000016,A clinical trial to study the safety and efficacy of ALD518 in patients with non-small cell lung cancer-related fatigue and cachexia.,,"Total: Completed
Indian:","Other specified respiratory disorders

Patients with Non-Small Cell Lung Cancer-related Fatigue and Cachexia",ALD518,"Curie Manavata Cancer Centre,,N/A

Dr Kamakshi Memorial Hospital,TAMIL NADU

GKNM Hospital,,TAMIL NADU

Indira Gandhi Institute of Medical Sciences ,BIHAR

IndoAmerican Cancer Institute & Research Center,ANDHRA PRADESH

Jehangir Clinical Development Centre Pvt. Ltd.,MAHARASHTRA

Kailash Cancer Hospital and Research Centre,N/A

Kidwai Memorial Institute of Oncology,KARNATAKA

Mahavir Cancer Sansthan,BIHAR

Orchid Nursing Home,WEST BENGAL

SEAROC Cancer Center,RAJASTHAN

Shatabdi Hospital,MAHARASHTRA

Tata Memorial Hospital,MAHARASHTRA"
CTRI/2009/091/000032,"This is an open - label, non-randomised, multicenter phase II study evaluating FOLFIRI plus cetuximab or FOLFOX plus cetuximab as first-line therapy of patients with KRAS wild type metastatic colorectal cancer.",Interventional,"Total: Open to Recruitment
Indian:",Metastatic Colorectal Cancer,Cetuximab + Irinotecan + Folinic Acid + 5-Flurouracil,"All India Institute of Medical sciences,DELHI

Rajiv Gandhi Cancer Institute & Research Centre,DELHI

S. L. Raheja Hospital,MAHARASHTRA

Sir Ganga Ram Hospital,DELHI

Tata memorial hospital,MAHARASHTRA"
CTRI/2009/091/000071,"A clinical trial to study the effects of two forms of reconstruction, uncut roux-en-y gastrojejunostomy and standard roux-en-y gastrojejunostomy following partial gastrectomy or palliative bypass in patients with cancer of stomach",,"Total: Open to Recruitment
Indian:",Gastric Cancer,Uncut Roux-en-Y gastrojejunostomy,"Christian Medical College,TAMIL NADU"
CTRI/2013/02/003343,LUME-Lung 1: BIBF 1120 Plus Docetaxel as Compared to Placebo Plus Docetaxel in 2nd Line Non Small Cell Lung Cancer,Interventional,"Total: Open to Recruitment
Indian: Completed",Locally advanced and/or metastatic or recurrent Non Smail Cell Lung Cancer,BIBF 1120 Oral Soft Gelatin Capsule.,"Jehangir Hospital,MAHARASHTRA

Apollo Hospital,TAMIL NADU

B. P .Poddar Hospital & Medical Research Ltd,WEST BENGAL

Bhagwan Mahaveer Cancer Hospital & Research Center,,RAJASTHAN

Birla Cancer Centre,RAJASTHAN

Christian Medical College,TAMIL NADU

City Cancer Centre, Cancer Hospital & Research,ANDHRA PRADESH

Dharamshila Cancer Hospital & Research Centre,DELHI

Indraprastha Apollo Hospitals,DELHI

Jawaharlal Nehru Cancer Hospital & Research Centre,MADHYA PRADESH

Kasturba Medical College Hospital,KARNATAKA

KIDWAI memoraial Institute of Oncology,KARNATAKA

King George Hospital,ANDHRA PRADESH

Rajalakshmi Multispeciality Hospital,KARNATAKA

Rajiv Gandhi Cancer Institute and,DELHI

Regional Cancer Center,N/A

SEAROC cancer center,S.K.soni Hospital,RAJASTHAN

Shatabdi Superspeciality Hospital,MAHARASHTRA

Sir Ganga Ram Hospitals, Rajinder Nagar, New Delhi ,DELHI

Tata Memorial Centre,MAHARASHTRA

Vedanta Institute of Medical Sciences,GUJARAT"
CTRI/2009/091/000113,A Study of Induction and Maintenance Treatment of Advanced Non-Squamous Non Small Cell Lung Cancer,Interventional,"Total: Completed
Indian:","Malignant neoplasm of unspecifiedpart of bronchus or lung

Non-Small Cell Lung Cancer","Pemetrexed

Cisplatin

Best Supportive Care","Apollo Hospitals,KARNATAKA

Jawaharlal Nehru Cancer Hospital,MADHYA PRADESH

Madurai Medical College & Govt. Rajaji Hospital,TAMIL NADU

Rajalakshmi Multispecialty Hospital,KARNATAKA

Regional Cancer Centre,BIHAR"
CTRI/2009/091/000137,A clinical trial to generate scientific evidence on the efficacy of a two-dose HPV vaccination regimen as compared to the current standard three-dose regimen,Interventional,"Total: Not Applicable
Indian: Closed to Recruitment of Participants","Prevention of HPV 16, 18, 6, 11 infection and cervical abnormalities and cervical cancer among women in India and the efficacy of 2 versus 3 doses of the of the HPV vaccine (Gardasil)","Quadrivalent HPV Vaccine (Gardasil, Merck)",", Jehangir Hospital and Medical Centre ,MAHARASHTRA

Cancer & Research Institute (GCRI), ,GUJARAT

Cancer Foundation of India,WEST BENGAL

Christian Fellowship Community Health Centre,N/A

Dept of Obstetrics & Gynaecology,DELHI

Dept of Preventive Oncology,MAHARASHTRA

MNJ Institute of Oncology & Regional cancer Center,ANDHRA PRADESH

Tata Memorial Centre Rural Cancer Project, Nargis Dutt Memorial Cancer Hospital, ,N/A"
CTRI/2009/091/000149,To study the effect of AMG 479 or AMG 102 in Combination With Platinum-Based Chemotherapy as First-Line Treatment for Extensive Stage Small Cell Lung Cancer,Interventional,"Total: Completed
Indian: Completed","Lung Cancer Small Cell Lung Cancer Solid Tumors Extensive-stage Small Cell Lung Cancer

Malignant neoplasm of unspecifiedpart of bronchus or lung

Malignant neoplasm of unspecifiedpart of bronchus or lung",Drug: AMG 102 and AMG 479,"Bibi Cancer Institute, Hyderabad,ANDHRA PRADESH

Cancer Care Clinic,MAHARASHTRA

Kidwai Memorial Institute of Oncology, Banglore,KARNATAKA

P. D. Hinduja National Hospital & Medical Research Centre,Mumbai,MAHARASHTRA

S. K. Soni Hospital,RAJASTHAN

Tata Memorial Centre,MAHARASHTRA"
CTRI/2009/091/000160,Clinical Trial of Ridaforolimus Compared to Progestin or Chemotherapy for Advanced Endometrial Carcinoma,Interventional,"Total: Completed
Indian: Completed",Endometrial Cancer,Ridaforolimus (Formerly Deforolimus),"Meenakshi Misson Hospital and Research Center,TAMIL NADU

Tata Memorial Hospital,MAHARASHTRA

Valavadi Narayanaswamy Cancer Center,TAMIL NADU"
CTRI/2009/091/000181,An observational study to see the effect of chemotherapy (docetaxel+platinum)when given prior to surgery/radiotherapy in Locally advanced breast cancer patients.,,"Total: Not Yet Recruiting
Indian:",Locally Advanced Breast Cancer,"Docetaxel

Cisplatin OR Carboplatin","Bhagwan Mahaveer Cancer Hospital & Research Centre,RAJASTHAN

Birla Cancer Center, SMS Medical College Hospital,RAJASTHAN

Kashyap Nursing Home,MAHARASHTRA

Mahaveer Cancer Sansthan,BIHAR

Sparsh Hospitals and Critical care (p) ltd,N/A"
CTRI/2009/091/000193,"A Phase III, Randomised, Double-blind, Placebo-controlled Study to Assess the Efficacy and Safety of 10 mg ZD4054 in Combination with Docetaxel in comparison with Docetaxel in Patients with Metastatic Hormone-resistant Prostate Cancer",Interventional,"Total: Completed
Indian: Completed",Metastatic Hormone-resistant Prostate Cancer,ZD4054 PLUS DOCATAXEL,"B P Poddar Hospital,WEST BENGAL

Bangalore Institute of Oncology,KARNATAKA

Christian Medical College & Hospital,TAMIL NADU

Deenanath Mangeshkar Hospital,MAHARASHTRA

Dr. Ram Manohar Lohia Hospital and PGIMER, Room No. 31, OPD Block,,DELHI

Grant Medical Foundation, Ruby Hall Clinic ,MAHARASHTRA

Jawaharlal Nehru Cancer Hospital and Research Centre,MADHYA PRADESH

Rajiv Gandhi Cancer Institute and Research Centre,DELHI

Regional Cancer Centre,N/A

S P Medical College,RAJASTHAN

SEAROC Cancer Centre,RAJASTHAN

V.M Medical College and Safdarjang Hospital, Sri Aurbindo Marg,DELHI

Woodlands Medical Centre,WEST BENGAL"
CTRI/2009/091/000295,A clinical trial to evaluate the safety and efficacy of talaporfin sodium (activated locally using light of a specific wavelength) on liver metastases in patients with colorectal cancer,Interventional,"Total: Completed
Indian: Completed",Liver metastases in patients with colorectal cancer (that is patients who have cancer of the colon or rectum that has spread to the liver),Talaporfin sodium,"CIIGMA Institute of Medical Sciences Pvt. Ltd., ,MAHARASHTRA

Site No. 0784, Shatabdi Super Specialty Hospital,N/A

Site No. 0785, Cancer Clinic, Shreevardhan complex,MAHARASHTRA

Site No. 0786, SEAROC Cancer Center, S. K. Soni hospital,N/A

Site No. 0788, Ruby Hall Clinic,MAHARASHTRA

Site No. 0789, Tata Memorial Hospital,,MAHARASHTRA

Site No. 0791, Bangalore Institute of Oncology,KARNATAKA

Site No. 0792, Mahaveer Cancer Sansthan,BIHAR

Site No. 0793, Jawaharlal Nehru Cancer Hospital and Research Center ,N/A"
CTRI/2009/091/000219,"A clinical trial to study the effects of Nanoparticle based Paclitaxel drug, which does not contain the solvent cremophor, in advanced breast cancer",,"Total: Not Applicable
Indian: Completed",Advanced Breast Cancer,Nanoxel (Nanoparticle Paclitaxel),"BP Podar Hospital,WEST BENGAL

Deenanath Mangeshkar Hospital & Research Centre,MAHARASHTRA

Kidwai Memorial Institute of Oncology,KARNATAKA

Nizam's Institute of Medical Sciences,ANDHRA PRADESH

SEAROC Cancer Center,RAJASTHAN"
CTRI/2009/091/001006,A clinical study to evaluate the safety and tolerability by using VRP-1620 in patients with solid tumors.,Interventional,"Total: Not Applicable
Indian: Completed",Solid Tumor (Breast Cancer),VRP-1620,"Amba hospitals,ANDHRA PRADESH

Central India Cancer Research Institute,MAHARASHTRA

Kodlikari Memorial Hospital,BIHAR

Manavata Cancer Center,MAHARASHTRA

Meenakshi Mission Hospital and Research Center,TAMIL NADU

PGIMER Chandigarh,CHANDIGARH"
CTRI/2009/091/000243,"A multicentre, multinational, randomizedm Double-Blind, Placebo Controlled, crossover trial to evaluate efficacy and safety of Fentanyl TAIFUN ® treatment after titrated dose administration for breakthrough pain in cancer patients on maintenance opioid therapy",,"Total: Not Yet Recruiting
Indian:",Breakthrough Pain in late stage cancer patients,Fentanyl Taifun,"Bharat Hospital,KARNATAKA

Curie Manavata Cancer Centre,MAHARASHTRA

Government Medical College,,MAHARASHTRA

Jehangir Clinical Development Centre,MAHARASHTRA

Prince Aly Khan Hospital,MAHARASHTRA

Sanjeevan Hospital,MAHARASHTRA

Shatabdi Hospital,MAHARASHTRA"
CTRI/2009/091/000244,"A Multicenter, Multinational, Randomized, Open-Label, Parallel-Group Trial to Evaluate the Safety of Fentanyl TAIFUN® Treatment after Titrated Dose Administration and the Current Breakthrough Pain Treatment for Breakthrough Pain in Cancer Patients on Maintenance Opioid Therapy""",,"Total: Not Yet Recruiting
Indian:",Breakthrough Pain in Late stage cancer patients,Fentanyl Taifun,"AH Regional Cancer Centre,ORISSA

AIIMS,DELHI

Bhagwan Mahaveer Cancer Hospital and Research Centre,RAJASTHAN

Gujurat Cancer Research Institute, ,GUJARAT

Jawaharlal Nehru Cancer Hospital.,MADHYA PRADESH

Kidwai Memorial Institute Of Oncology,KARNATAKA

KMC Medical College,KARNATAKA

Madurai Mission Hospital, ,TAMIL NADU

MS Ramaih Hospital,KARNATAKA

Nizam Institute of Medical Science,N/A

P.D Hinduja National Hospital,MAHARASHTRA

Pentamed Hospital,DELHI

Ruby Hall Clinic,MAHARASHTRA

Sir Gangaram Hospital,DELHI

TATA Memorial Hospital,MAHARASHTRA"
CTRI/2009/091/000593,A Clinical trial of Investigational Agent in Combination With Paclitaxel in Subjects With Advanced Solid Tumors and Breast Cancer,Interventional,"Total: Completed
Indian: Completed",Advanced Breast Cancer Advanced Malignant Solid Tumors Breast Neoplasms,"Part 1 - dose level 1: Experimental Subjects with solid tumors receiving HKI-272 (neratinib) in combination with paclitaxel Intervention: Drug: Combination of HKI-272 (neratinib) and paclitaxel

Part 1 - dose level 2: Experimental Subjects with solid tumors receiving HKI-272 (neratinib) in combination with paclitaxel Intervention: Drug: Combination of HKI-272 and paclitaxel

Part 2 - expanded MTD cohort, arm A: Experimental Subjects with metastatic breast cancer who have not received more than 1 prior cytotoxic chemotherapy treatment regimen for metastatic disease who will receive HKI-272 (neratinib) in combination with paclitaxel Intervention: Drug: Combination of HKI-272 (neratinib) and paclitaxel

Part 2 - expanded MTD cohort, arm B: Experimental Subjects with metastatic breast cancer who have not received more than 3 prior cytotoxic chemotherapy treatment regimen for metastatic disease who will receive HKI-272 (neratinib) in combination with paclitaxel Intervention: Drug: Combination of HKI-272 (neratinib) and paclitaxel","Birla Cancer Centre,RAJASTHAN

Jehangir Clinical Development Centre,MAHARASHTRA

Maharashtra Medical Foundation's (MMF) Joshi Hospital,MAHARASHTRA

Tata Memorial Centre,MAHARASHTRA"
